epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.8576,0.88467,0.83714,1,0.38314,0.000413486,0.000413486,0.000413486
2,63.8221,0.44431,0.88857,1,0.31707,0.000821934,0.000821934,0.000821934
3,94.1244,0.39106,0.90143,1,0.29838,0.00122213,0.00122213,0.00122213
4,125.735,0.40326,0.88286,1,0.35077,0.00121287,0.00121287,0.00121287
5,155.919,0.35663,0.88714,1,0.35154,0.0012005,0.0012005,0.0012005
6,186.93,0.35455,0.89286,1,0.2866,0.00118812,0.00118812,0.00118812
7,217.294,0.30778,0.90286,1,0.2508,0.00117575,0.00117575,0.00117575
8,248.711,0.27626,0.89714,1,0.3183,0.00116337,0.00116337,0.00116337
9,279.086,0.2795,0.89571,1,0.28737,0.001151,0.001151,0.001151
10,309.767,0.25776,0.89571,1,0.26888,0.00113863,0.00113863,0.00113863
11,339.471,0.25203,0.90857,1,0.27298,0.00112625,0.00112625,0.00112625
12,370.335,0.22488,0.90714,1,0.27874,0.00111388,0.00111388,0.00111388
13,400.416,0.23091,0.90714,1,0.2578,0.0011015,0.0011015,0.0011015
14,431.06,0.23873,0.91143,1,0.26856,0.00108913,0.00108913,0.00108913
15,461.547,0.21065,0.90429,1,0.30904,0.00107675,0.00107675,0.00107675
16,492.808,0.20168,0.90571,1,0.29632,0.00106437,0.00106437,0.00106437
17,523.453,0.21473,0.90857,1,0.2824,0.001052,0.001052,0.001052
18,554.26,0.19173,0.89571,1,0.29486,0.00103962,0.00103962,0.00103962
19,586.214,0.19192,0.91,1,0.2995,0.00102725,0.00102725,0.00102725
20,617.36,0.175,0.89857,1,0.34269,0.00101488,0.00101488,0.00101488
21,647.44,0.17625,0.90571,1,0.28078,0.0010025,0.0010025,0.0010025
22,678.913,0.15716,0.89286,1,0.36177,0.000990125,0.000990125,0.000990125
23,710.646,0.18571,0.90286,1,0.27305,0.00097775,0.00097775,0.00097775
24,743.654,0.14671,0.89857,1,0.36734,0.000965375,0.000965375,0.000965375
25,775.584,0.16716,0.91143,1,0.29088,0.000953,0.000953,0.000953
26,807.256,0.14514,0.89571,1,0.35134,0.000940625,0.000940625,0.000940625
27,838.926,0.14298,0.91286,1,0.31746,0.00092825,0.00092825,0.00092825
28,869.625,0.13162,0.9,1,0.36259,0.000915875,0.000915875,0.000915875
29,901.231,0.14352,0.90286,1,0.36114,0.0009035,0.0009035,0.0009035
30,931.293,0.15681,0.88714,1,0.34775,0.000891125,0.000891125,0.000891125
31,964.781,0.13222,0.91143,1,0.31552,0.00087875,0.00087875,0.00087875
32,995.835,0.14604,0.90286,1,0.31621,0.000866375,0.000866375,0.000866375
33,1026.94,0.1223,0.89429,1,0.39675,0.000854,0.000854,0.000854
34,1057.04,0.1255,0.89,1,0.46001,0.000841625,0.000841625,0.000841625
35,1088.48,0.14267,0.90286,1,0.36289,0.00082925,0.00082925,0.00082925
36,1119.1,0.12757,0.90429,1,0.33569,0.000816875,0.000816875,0.000816875
37,1150.12,0.12214,0.90429,1,0.33445,0.0008045,0.0008045,0.0008045
38,1180.79,0.10901,0.90857,1,0.35941,0.000792125,0.000792125,0.000792125
39,1212.4,0.12282,0.90857,1,0.34541,0.00077975,0.00077975,0.00077975
40,1242.9,0.10885,0.89857,1,0.36246,0.000767375,0.000767375,0.000767375
41,1274,0.13501,0.90286,1,0.34103,0.000755,0.000755,0.000755
42,1304.44,0.11731,0.90714,1,0.32977,0.000742625,0.000742625,0.000742625
43,1335.58,0.09568,0.91571,1,0.3563,0.00073025,0.00073025,0.00073025
44,1366.63,0.09799,0.90714,1,0.34685,0.000717875,0.000717875,0.000717875
45,1398.2,0.10031,0.90429,1,0.36423,0.0007055,0.0007055,0.0007055
46,1428.62,0.10553,0.89857,1,0.39317,0.000693125,0.000693125,0.000693125
47,1460.22,0.10589,0.89429,1,0.39322,0.00068075,0.00068075,0.00068075
48,1490.9,0.10426,0.90286,1,0.36667,0.000668375,0.000668375,0.000668375
49,1522.36,0.1026,0.90429,1,0.36087,0.000656,0.000656,0.000656
50,1553.28,0.10127,0.89429,1,0.37548,0.000643625,0.000643625,0.000643625
51,1584.69,0.07633,0.90143,1,0.41068,0.00063125,0.00063125,0.00063125
52,1615.39,0.10171,0.89429,1,0.4203,0.000618875,0.000618875,0.000618875
53,1646.17,0.09323,0.89714,1,0.43464,0.0006065,0.0006065,0.0006065
54,1677.15,0.09476,0.90143,1,0.41233,0.000594125,0.000594125,0.000594125
55,1708.69,0.09008,0.89857,1,0.39401,0.00058175,0.00058175,0.00058175
56,1739.47,0.08102,0.90286,1,0.40138,0.000569375,0.000569375,0.000569375
57,1770.17,0.0774,0.89857,1,0.42248,0.000557,0.000557,0.000557
58,1801.11,0.08518,0.90714,1,0.40543,0.000544625,0.000544625,0.000544625
59,1832.4,0.08405,0.91,1,0.40706,0.00053225,0.00053225,0.00053225
60,1863.49,0.07961,0.9,1,0.42377,0.000519875,0.000519875,0.000519875
61,1894.43,0.08327,0.89143,1,0.45194,0.0005075,0.0005075,0.0005075
62,1926.09,0.08278,0.89429,1,0.43208,0.000495125,0.000495125,0.000495125
63,1957.48,0.077,0.90571,1,0.40776,0.00048275,0.00048275,0.00048275
64,1989.89,0.07023,0.89429,1,0.42223,0.000470375,0.000470375,0.000470375
65,2021.19,0.0829,0.9,1,0.38673,0.000458,0.000458,0.000458
66,2051.66,0.07532,0.89857,1,0.41271,0.000445625,0.000445625,0.000445625
67,2083.16,0.06134,0.89857,1,0.43578,0.00043325,0.00043325,0.00043325
68,2117.77,0.07423,0.90429,1,0.44201,0.000420875,0.000420875,0.000420875
69,2149.48,0.07849,0.90571,1,0.41637,0.0004085,0.0004085,0.0004085
70,2180.35,0.0713,0.90143,1,0.39614,0.000396125,0.000396125,0.000396125
71,2212.05,0.07553,0.9,1,0.40017,0.00038375,0.00038375,0.00038375
72,2242.83,0.06179,0.90714,1,0.42923,0.000371375,0.000371375,0.000371375
73,2274.4,0.06337,0.90429,1,0.43219,0.000359,0.000359,0.000359
74,2304.95,0.06137,0.91,1,0.42929,0.000346625,0.000346625,0.000346625
75,2336.72,0.07767,0.91286,1,0.4017,0.00033425,0.00033425,0.00033425
76,2367.5,0.07013,0.90857,1,0.42566,0.000321875,0.000321875,0.000321875
77,2399.51,0.06158,0.90857,1,0.41832,0.0003095,0.0003095,0.0003095
78,2430.59,0.06185,0.89857,1,0.4341,0.000297125,0.000297125,0.000297125
79,2462.33,0.05668,0.89714,1,0.4477,0.00028475,0.00028475,0.00028475
80,2492.32,0.05861,0.89714,1,0.45714,0.000272375,0.000272375,0.000272375
