epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.4727,0.88182,0.88714,1,0.3344,0.000413486,0.000413486,0.000413486
2,62.6922,0.49175,0.89,1,0.30187,0.000821934,0.000821934,0.000821934
3,92.1133,0.44153,0.89857,1,0.28742,0.00122213,0.00122213,0.00122213
4,122.147,0.4619,0.88429,1,0.33005,0.00121287,0.00121287,0.00121287
5,150.809,0.4103,0.87429,1,0.35964,0.0012005,0.0012005,0.0012005
6,180.387,0.38072,0.84143,1,0.4275,0.00118812,0.00118812,0.00118812
7,209.737,0.34416,0.88571,1,0.30455,0.00117575,0.00117575,0.00117575
8,239.441,0.31634,0.91429,1,0.27883,0.00116337,0.00116337,0.00116337
9,268.903,0.33609,0.9,1,0.26613,0.001151,0.001151,0.001151
10,299.113,0.31552,0.89714,1,0.29434,0.00113863,0.00113863,0.00113863
11,328.446,0.3207,0.9,1,0.25975,0.00112625,0.00112625,0.00112625
12,358.854,0.30073,0.88429,1,0.3039,0.00111388,0.00111388,0.00111388
13,387.575,0.28969,0.91429,1,0.25246,0.0011015,0.0011015,0.0011015
14,448.329,0.27989,0.90714,1,0.26712,0.00108913,0.00108913,0.00108913
15,515.696,0.25971,0.90143,1,0.30956,0.00107675,0.00107675,0.00107675
16,584.147,0.25272,0.90857,1,0.26216,0.00106437,0.00106437,0.00106437
17,654.554,0.26743,0.89857,1,0.29794,0.001052,0.001052,0.001052
18,731.02,0.24496,0.88571,1,0.31206,0.00103962,0.00103962,0.00103962
19,799.581,0.2369,0.89857,1,0.28657,0.00102725,0.00102725,0.00102725
20,869.455,0.23499,0.89857,1,0.32097,0.00101488,0.00101488,0.00101488
21,937.665,0.24438,0.88286,1,0.32947,0.0010025,0.0010025,0.0010025
22,1007.13,0.21271,0.88857,1,0.30633,0.000990125,0.000990125,0.000990125
23,1078.4,0.22352,0.90571,1,0.30606,0.00097775,0.00097775,0.00097775
24,1147.57,0.21076,0.88571,1,0.34828,0.000965375,0.000965375,0.000965375
25,1216.3,0.21983,0.89286,1,0.35967,0.000953,0.000953,0.000953
26,1285.87,0.20391,0.9,1,0.31589,0.000940625,0.000940625,0.000940625
27,1356.11,0.20287,0.87,1,0.39781,0.00092825,0.00092825,0.00092825
