epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.5098,0.87925,0.87429,1,0.33338,0.000413486,0.000413486,0.000413486
2,72.6251,0.44181,0.90143,1,0.28536,0.000813716,0.000813716,0.000813716
3,113.204,0.38953,0.89143,1,0.37894,0.00119745,0.00119745,0.00119745
4,152.256,0.40732,0.89286,1,0.29718,0.00117575,0.00117575,0.00117575
5,188.9,0.3695,0.90143,1,0.29791,0.001151,0.001151,0.001151
6,233.185,0.34879,0.90857,1,0.25312,0.00112625,0.00112625,0.00112625
7,283.352,0.28653,0.90429,1,0.27556,0.0011015,0.0011015,0.0011015
8,322.46,0.28093,0.89,1,0.32151,0.00107675,0.00107675,0.00107675
9,361.174,0.25786,0.89429,1,0.26874,0.001052,0.001052,0.001052
10,402.266,0.24409,0.89714,1,0.31757,0.00102725,0.00102725,0.00102725
11,439.46,0.26324,0.9,1,0.27521,0.0010025,0.0010025,0.0010025
12,475.095,0.2138,0.90571,1,0.27719,0.00097775,0.00097775,0.00097775
13,512.139,0.21753,0.91571,1,0.27196,0.000953,0.000953,0.000953
14,545.926,0.2439,0.89714,1,0.29968,0.00092825,0.00092825,0.00092825
15,581.146,0.21689,0.90286,1,0.29108,0.0009035,0.0009035,0.0009035
16,616.257,0.18246,0.90857,1,0.28494,0.00087875,0.00087875,0.00087875
17,650.354,0.19026,0.92,1,0.28239,0.000854,0.000854,0.000854
18,1402.09,0.16759,0.89857,1,0.28712,0.00082925,0.00082925,0.00082925
19,1437.29,0.1655,0.88714,1,0.37295,0.0008045,0.0008045,0.0008045
20,1473.39,0.15562,0.90286,1,0.34282,0.00077975,0.00077975,0.00077975
21,1506.16,0.16294,0.89143,1,0.33663,0.000755,0.000755,0.000755
22,1542.93,0.13923,0.88857,1,0.38408,0.00073025,0.00073025,0.00073025
23,1579.72,0.16645,0.91,1,0.30709,0.0007055,0.0007055,0.0007055
24,1613.41,0.12518,0.89857,1,0.37882,0.00068075,0.00068075,0.00068075
25,1649.12,0.13428,0.88714,1,0.37864,0.000656,0.000656,0.000656
26,1682.88,0.13731,0.90429,1,0.32703,0.00063125,0.00063125,0.00063125
27,1720.02,0.12151,0.90857,1,0.34912,0.0006065,0.0006065,0.0006065
28,1755.8,0.119,0.89143,1,0.35309,0.00058175,0.00058175,0.00058175
29,1848.37,0.12324,0.89143,1,0.35952,0.000557,0.000557,0.000557
30,1883.67,0.12287,0.9,1,0.35524,0.00053225,0.00053225,0.00053225
31,1920,0.11353,0.90286,1,0.34404,0.0005075,0.0005075,0.0005075
32,1955.62,0.11806,0.89857,1,0.3339,0.00048275,0.00048275,0.00048275
33,1990.89,0.10613,0.90714,1,0.35466,0.000458,0.000458,0.000458
34,2029.02,0.12894,0.90143,1,0.388,0.00043325,0.00043325,0.00043325
35,2887.07,0.1185,0.89571,1,0.36988,0.0004085,0.0004085,0.0004085
36,2929.84,0.09295,0.9,1,0.36087,0.00038375,0.00038375,0.00038375
37,2969.67,0.09843,0.90571,1,0.3498,0.000359,0.000359,0.000359
38,3003.92,0.09639,0.90571,1,0.35398,0.00033425,0.00033425,0.00033425
39,3040.37,0.10042,0.89714,1,0.38011,0.0003095,0.0003095,0.0003095
40,4676.46,0.07545,0.9,1,0.38019,0.00028475,0.00028475,0.00028475
41,4716.03,0.09358,0.89857,1,0.40924,0.00026,0.00026,0.00026
42,4746.31,0.09631,0.90143,1,0.38976,0.00023525,0.00023525,0.00023525
43,4775.71,0.09106,0.90286,1,0.3761,0.0002105,0.0002105,0.0002105
44,4806.22,0.07714,0.90143,1,0.37549,0.00018575,0.00018575,0.00018575
45,4835.14,0.07475,0.9,1,0.37052,0.000161,0.000161,0.000161
46,4865.46,0.07854,0.89714,1,0.3846,0.00013625,0.00013625,0.00013625
47,4895.52,0.0777,0.89429,1,0.40347,0.0001115,0.0001115,0.0001115
48,4960.58,0.07289,0.89571,1,0.39646,8.675e-05,8.675e-05,8.675e-05
49,4990.75,0.07835,0.89857,1,0.39001,6.2e-05,6.2e-05,6.2e-05
50,5022.79,0.07592,0.9,1,0.38826,3.725e-05,3.725e-05,3.725e-05
