epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.8505,0.88467,0.83714,1,0.38314,0.000413486,0.000413486,0.000413486
2,66.7294,0.44391,0.89,1,0.31771,0.000813716,0.000813716,0.000813716
3,98.0104,0.39002,0.90429,1,0.29799,0.00119745,0.00119745,0.00119745
4,129.635,0.40199,0.87571,1,0.35849,0.00117575,0.00117575,0.00117575
5,161.671,0.35211,0.88286,1,0.34614,0.001151,0.001151,0.001151
6,205.101,0.34466,0.89714,1,0.27115,0.00112625,0.00112625,0.00112625
7,246.375,0.29855,0.88857,1,0.28813,0.0011015,0.0011015,0.0011015
8,313.902,0.27051,0.88857,1,0.33409,0.00107675,0.00107675,0.00107675
9,354.628,0.2709,0.90286,1,0.26046,0.001052,0.001052,0.001052
10,391.153,0.24617,0.90429,1,0.27845,0.00102725,0.00102725,0.00102725
11,426.911,0.24557,0.90571,1,0.26425,0.0010025,0.0010025,0.0010025
12,463.022,0.21755,0.91429,1,0.30496,0.00097775,0.00097775,0.00097775
13,497.712,0.20733,0.91143,1,0.25569,0.000953,0.000953,0.000953
14,534.397,0.21833,0.90143,1,0.27536,0.00092825,0.00092825,0.00092825
15,570.221,0.19169,0.89714,1,0.30132,0.0009035,0.0009035,0.0009035
16,606.359,0.19337,0.90714,1,0.28933,0.00087875,0.00087875,0.00087875
17,641.418,0.20606,0.90571,1,0.29609,0.000854,0.000854,0.000854
18,678.162,0.17012,0.9,1,0.30158,0.00082925,0.00082925,0.00082925
19,713.763,0.16683,0.90143,1,0.33653,0.0008045,0.0008045,0.0008045
20,749.393,0.16396,0.9,1,0.31955,0.00077975,0.00077975,0.00077975
21,785.152,0.15076,0.90143,1,0.30558,0.000755,0.000755,0.000755
22,820.934,0.13717,0.90714,1,0.31117,0.00073025,0.00073025,0.00073025
23,856.431,0.14423,0.91143,1,0.29285,0.0007055,0.0007055,0.0007055
24,894.2,0.12464,0.9,1,0.37302,0.00068075,0.00068075,0.00068075
25,928.924,0.15222,0.91,1,0.3423,0.000656,0.000656,0.000656
26,964.295,0.13216,0.91571,1,0.31308,0.00063125,0.00063125,0.00063125
27,1002.38,0.12508,0.90857,1,0.30664,0.0006065,0.0006065,0.0006065
28,1038.73,0.1246,0.89429,1,0.34146,0.00058175,0.00058175,0.00058175
29,1073.93,0.12018,0.90429,1,0.3524,0.000557,0.000557,0.000557
30,1109.85,0.11924,0.90429,1,0.37173,0.00053225,0.00053225,0.00053225
31,1145.9,0.11674,0.90714,1,0.35336,0.0005075,0.0005075,0.0005075
32,1181.44,0.11211,0.91143,1,0.31833,0.00048275,0.00048275,0.00048275
33,1216.71,0.09678,0.89857,1,0.37926,0.000458,0.000458,0.000458
34,1254.03,0.10984,0.90143,1,0.42639,0.00043325,0.00043325,0.00043325
35,1289.78,0.11219,0.90571,1,0.35868,0.0004085,0.0004085,0.0004085
36,1322.52,0.10195,0.89,1,0.35427,0.00038375,0.00038375,0.00038375
37,1352.89,0.09421,0.89857,1,0.35566,0.000359,0.000359,0.000359
38,1383.96,0.10203,0.89714,1,0.36539,0.00033425,0.00033425,0.00033425
39,1413.94,0.08921,0.9,1,0.36367,0.0003095,0.0003095,0.0003095
40,1444.55,0.08554,0.89429,1,0.3742,0.00028475,0.00028475,0.00028475
41,1474.77,0.09558,0.90571,1,0.38955,0.00026,0.00026,0.00026
42,1540.82,0.08715,0.89857,1,0.36892,0.00023525,0.00023525,0.00023525
43,1578.39,0.10113,0.89571,1,0.36418,0.0002105,0.0002105,0.0002105
44,1609.68,0.07302,0.90571,1,0.37169,0.00018575,0.00018575,0.00018575
45,1640.19,0.06818,0.9,1,0.37512,0.000161,0.000161,0.000161
46,1671.2,0.07709,0.9,1,0.38194,0.00013625,0.00013625,0.00013625
47,1703.04,0.07082,0.9,1,0.38102,0.0001115,0.0001115,0.0001115
48,1734.86,0.06663,0.90286,1,0.38025,8.675e-05,8.675e-05,8.675e-05
49,1766.98,0.07821,0.90714,1,0.38033,6.2e-05,6.2e-05,6.2e-05
50,1799.1,0.07182,0.90429,1,0.37986,3.725e-05,3.725e-05,3.725e-05
