epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.6,0.88182,0.88714,1,0.3344,0.000413486,0.000413486,0.000413486
2,64.5914,0.49147,0.88714,1,0.30259,0.000813716,0.000813716,0.000813716
3,93.9929,0.44045,0.9,1,0.29396,0.00119745,0.00119745,0.00119745
4,123.38,0.4484,0.87286,1,0.36442,0.00117575,0.00117575,0.00117575
5,152.826,0.40257,0.89143,1,0.33684,0.001151,0.001151,0.001151
6,182.572,0.35919,0.85571,1,0.35881,0.00112625,0.00112625,0.00112625
7,212.001,0.33249,0.88,1,0.3456,0.0011015,0.0011015,0.0011015
8,241.551,0.31565,0.90143,1,0.30298,0.00107675,0.00107675,0.00107675
9,271.49,0.3326,0.90286,1,0.27395,0.001052,0.001052,0.001052
10,301.655,0.31556,0.89857,1,0.27293,0.00102725,0.00102725,0.00102725
11,330.883,0.29917,0.89714,1,0.25705,0.0010025,0.0010025,0.0010025
12,360.492,0.27836,0.9,1,0.27465,0.00097775,0.00097775,0.00097775
13,391.501,0.27679,0.91857,1,0.25016,0.000953,0.000953,0.000953
14,425.246,0.26794,0.90571,1,0.26898,0.00092825,0.00092825,0.00092825
15,454.38,0.25632,0.9,1,0.26011,0.0009035,0.0009035,0.0009035
16,484.339,0.24667,0.90714,1,0.26494,0.00087875,0.00087875,0.00087875
17,513.415,0.25734,0.91,1,0.27069,0.000854,0.000854,0.000854
18,543.445,0.23435,0.89714,1,0.31875,0.00082925,0.00082925,0.00082925
19,572.638,0.23769,0.89571,1,0.31293,0.0008045,0.0008045,0.0008045
20,601.956,0.22036,0.91286,1,0.29132,0.00077975,0.00077975,0.00077975
21,631.092,0.20546,0.9,1,0.2869,0.000755,0.000755,0.000755
22,661.602,0.1864,0.90429,1,0.29772,0.00073025,0.00073025,0.00073025
23,691.107,0.21405,0.90571,1,0.28929,0.0007055,0.0007055,0.0007055
24,720.597,0.17896,0.90286,1,0.33231,0.00068075,0.00068075,0.00068075
25,749.432,0.21869,0.9,1,0.33117,0.000656,0.000656,0.000656
26,779.068,0.19354,0.90571,1,0.31555,0.00063125,0.00063125,0.00063125
27,808.157,0.16659,0.90286,1,0.34313,0.0006065,0.0006065,0.0006065
28,837.52,0.1706,0.91143,1,0.33954,0.00058175,0.00058175,0.00058175
29,866.585,0.1799,0.89857,1,0.32452,0.000557,0.000557,0.000557
30,896.664,0.16935,0.89,1,0.35541,0.00053225,0.00053225,0.00053225
31,926.016,0.15619,0.90714,1,0.35394,0.0005075,0.0005075,0.0005075
32,955.353,0.16766,0.91714,1,0.30458,0.00048275,0.00048275,0.00048275
33,984.112,0.1662,0.90429,1,0.34881,0.000458,0.000458,0.000458
34,1013.69,0.15634,0.89571,1,0.41052,0.00043325,0.00043325,0.00043325
35,1043.72,0.15624,0.90714,1,0.33674,0.0004085,0.0004085,0.0004085
36,1073.85,0.13892,0.9,1,0.32913,0.00038375,0.00038375,0.00038375
37,1102.96,0.13575,0.90714,1,0.34354,0.000359,0.000359,0.000359
38,1132.66,0.14494,0.90571,1,0.36427,0.00033425,0.00033425,0.00033425
39,1161.7,0.13661,0.90286,1,0.34397,0.0003095,0.0003095,0.0003095
40,1191.62,0.11406,0.90429,1,0.35776,0.00028475,0.00028475,0.00028475
41,1221.03,0.13071,0.89857,1,0.39967,0.00026,0.00026,0.00026
42,1251.16,0.11554,0.89857,1,0.4087,0.00023525,0.00023525,0.00023525
43,1280.24,0.13757,0.90143,1,0.39693,0.0002105,0.0002105,0.0002105
44,1309.84,0.10992,0.90429,1,0.3942,0.00018575,0.00018575,0.00018575
45,1338.65,0.10887,0.89714,1,0.3975,0.000161,0.000161,0.000161
46,1368.12,0.11497,0.89714,1,0.39201,0.00013625,0.00013625,0.00013625
47,1397.65,0.11578,0.9,1,0.38999,0.0001115,0.0001115,0.0001115
48,1427.71,0.10198,0.89714,1,0.38841,8.675e-05,8.675e-05,8.675e-05
49,1457.04,0.10531,0.90143,1,0.39727,6.2e-05,6.2e-05,6.2e-05
50,1486.73,0.10604,0.89857,1,0.39445,3.725e-05,3.725e-05,3.725e-05
